Date,Soil Moisture,Temperature,nextemperature,Humidity,nexthumidity,Watering Decision
11/22/2024,45,25,30,60,40,1
11/23/2024,70,30,30,40,55,0
11/24/2024,20,30,30,55,30,1
11/25/2024,85,30,27,30,50,0
11/26/2024,33,27,26,50,65,1
11/27/2024,50,26,32,65,45,1
11/28/2024,75,32,29,45,58,0
11/29/2024,40,29,31,58,35,1
11/30/2024,90,31,24,35,70,0
12/1/2024,25,24,27,70,52,1
12/2/2024,60,27,33,52,42,1
12/3/2024,80,33,28,42,61,0
12/4/2024,35,28,36,61,25,1
12/5/2024,95,36,23,25,68,0
12/6/2024,22,23,26,68,54,1
12/7/2024,55,26,31,54,44,1
12/8/2024,78,31,30,44,57,0
12/9/2024,48,30,34,57,38,1
12/10/2024,88,34,25,38,66,0
12/11/2024,28,25,28,66,53,1
12/12/2024,65,28,29,53,47,1
12/13/2024,77,29,30,47,59,0
12/14/2024,41,30,33,59,31,1
12/15/2024,87,33,22,31,67,0
12/16/2024,30,22,27,67,50,1
12/17/2024,58,27,35,50,36,1
12/18/2024,82,35,26,36,62,0
12/19/2024,36,26,32,62,28,1
12/20/2024,92,32,24,28,69,0
12/21/2024,21,24,25,69,55,1
12/22/2024,53,25,30,55,43,1
12/23/2024,76,30,29,43,60,0
12/24/2024,47,29,34,60,33,1
12/25/2024,89,34,23,33,65,0
12/26/2024,29,23,28,65,51,1
12/27/2024,62,28,35,51,37,1
12/28/2024,81,35,25,37,63,0
12/29/2024,39,25,31,63,29,1
12/30/2024,94,31,24,29,70,0
12/31/2024,24,24,27,70,56,1
1/1/2025,54,27,32,56,41,1
1/2/2025,79,32,30,41,59,0
1/3/2025,44,30,33,59,34,1
1/4/2025,84,33,22,34,66,0
1/5/2025,32,22,26,66,52,1
1/6/2025,61,26,34,52,39,1
1/7/2025,86,34,28,39,60,0
1/8/2025,37,28,29,60,30,1
1/9/2025,91,29,24,30,68,0
1/10/2025,23,24,25,68,53,1
1/11/2025,57,25,33,53,40,1
1/12/2025,83,33,27,40,61,0
1/13/2025,42,27,36,61,24,1
1/14/2025,96,36,23,24,67,0
1/15/2025,27,23,28,67,54,1
1/16/2025,66,28,32,54,46,1
1/17/2025,74,32,29,46,58,0
1/18/2025,43,29,35,58,26,1
1/19/2025,93,35,24,26,69,0
1/20/2025,26,24,25,69,55,1
1/21/2025,51,25,30,55,44,1
1/22/2025,80,30,28,44,62,0
1/23/2025,38,28,33,62,31,1
1/24/2025,90,33,25,31,65,0
1/25/2025,34,25,27,65,52,1
1/26/2025,68,27,36,52,39,1
1/27/2025,85,36,23,39,64,0
1/28/2025,31,23,29,64,50,1
1/29/2025,59,29,32,50,38,1
1/30/2025,78,32,26,38,63,0
1/31/2025,40,26,34,63,27,1
2/1/2025,95,34,24,27,67,0
2/2/2025,25,24,28,67,54,1
2/3/2025,56,28,30,54,42,1
2/4/2025,81,30,27,42,59,0
2/5/2025,47,27,35,59,35,1
2/6/2025,87,35,22,35,66,0
2/7/2025,28,22,26,66,53,1
2/8/2025,63,26,31,53,39,1
2/9/2025,82,31,29,39,38,0
